ANO,"Títulos de
Residência","Concessão e
Prorrogação de AP’s","Prorrogação de
VLD’s",TOTAL,"VARIAÇÃO
%"
1980,50750,,,50750,
1981,54414,,,54414,"7,22%"
1982,58667,,,58667,"7,82%"
1983,67485,,,67485,"15,03%"
1984,73365,,,73365,"8,71%"
1985,79594,,,79594,"8,49%"
1986,86982,,,86982,"9,28%"
1987,89778,,,89778,"3,21%"
1988,94694,,,94694,"5,48%"
1989,101011,,,101011,"6,67%"
1990,107767,,,107767,"6,69%"
1991,113978,,,113978,"5,76%"
1992,123612,,,123612,"8,45%"
1993,136932,,,136932,"10,78%"
1994,157073,,,157073,"14,71%"
1995,168316,,,168316,"7,16%"
1996,172912,,,172912,"2,73%"
1997,175263,,,175263,"1,36%"
1998,178137,,,178137,"1,64%"
1999,191143,,,191143,"7,30%"
2000,207587,,,207587,"8,60%"
2001,223997,126901,,350898,"69,04%"
2002,238929,174558,,413487,"17,84%"
2003,249995,183655,,433650,"4,88%"
2004,263322,183833,,447155,"3,11%"
2005,274631,93391,46637,414659,"-7,27%"
2006,332137,32661,55391,420189,"1,33%"
2007,401612,5741,5741,435736,"3,70%"
2008,436020,,4257,440277,"1,04%"
2009,451742,,2449,454191,"3,16%"
2010,443055,,2207,445262,"-1,97%"
2011,434708,,2114,436822,"-1,90%"
2012,414610,,2432,417042,"-4,53%"
2013,398268,,3052,401320,"-3,77%"
2014,390113,,5082,395195,"-1,53%"
2015,383759,,4972,388731,"-1,64%"
2016,392969,,4762,397731,"2,32%"
2017,416 682,,5029,421711,"6,03%"
2018,477472,,2828,480300,"13,90%"
2019,588976,,1372,590348,"22,90%"
2020,661607,,488,662095,"12,20%"