populacao_local_id,localidade_id,populacao_id,populacao_total,populacao_portuguesa,populacao_estrangeira,apatridas
1,1,1,10343066,9800752,542165,149
2,2,1,9855909,9323976,531790,143
3,3,1,3586586,3493780,92771,35
4,4,1,231266,224311,6952,3
5,5,1,20718,20288,430,0
6,6,1,15797,15260,536,1
7,7,1,7773,7591,182,0
8,8,1,17816,17044,772,0
9,9,1,8632,8443,189,0
10,10,1,11044,10831,213,0
11,11,1,41164,40543,621,0
12,12,1,13623,12673,948,2
13,13,1,85778,83288,2490,0
14,14,1,8921,8350,571,0
15,15,1,416605,400841,15760,4
16,16,1,18595,18163,431,1
17,17,1,116752,114543,2208,1
18,18,1,193324,182042,11280,2
19,19,1,35132,34286,846,0
20,20,1,6358,6262,96,0
21,21,1,46444,45545,899,0
22,22,1,418455,411808,6643,4
23,23,1,15558,15362,196,0
24,24,1,48497,47881,615,1
25,25,1,156830,154349,2478,3
26,26,1,6410,6332,78,0
27,27,1,21775,21355,420,0
28,28,1,11955,11767,188,0
29,29,1,133534,131102,2432,0
30,30,1,23896,23660,236,0
31,31,1,1736228,1683179,53031,18
32,32,1,21146,20886,260,0
33,33,1,31043,30279,764,0
34,34,1,164257,161203,3054,0
35,35,1,134977,131345,3631,1
36,36,1,172557,167316,5239,2
37,37,1,66175,64882,1293,0
38,38,1,84354,83150,1203,1
39,39,1,231800,217299,14497,4
40,40,1,64255,61991,2264,0
41,41,1,136674,133927,2744,3
42,42,1,67709,66666,1043,0
43,43,1,22143,21079,1064,0
44,44,1,38548,37631,917,0
45,45,1,21269,20732,537,0
46,46,1,94672,92778,1894,0
47,47,1,80825,78483,2342,0
48,48,1,303824,293532,10285,7
49,49,1,84248,83031,1217,0
50,50,1,5000,4928,72,0
51,51,1,37590,36957,633,0
52,52,1,9261,9138,123,0
53,53,1,5884,5827,57,0
54,54,1,14701,14519,182,0
55,55,1,11812,11662,150,0
56,56,1,408637,404888,3747,2
57,57,1,52116,51554,562,0
58,58,1,17534,17377,157,0
59,59,1,15586,15455,131,0
60,60,1,17643,17455,188,0
61,61,1,17730,17598,132,0
62,62,1,55848,55363,485,0
63,63,1,47364,46871,493,0
64,64,1,49541,49113,428,0
65,65,1,55595,55089,506,0
66,66,1,69629,69039,588,2
67,67,1,10051,9974,77,0
68,68,1,183875,181617,2254,4
69,69,1,10486,10393,93,0
70,70,1,5678,5600,78,0
71,71,1,5490,5379,111,0
72,72,1,3216,3150,66,0
73,73,1,24312,24141,171,0
74,74,1,3547,3531,16,0
75,75,1,9410,9271,139,0
76,76,1,5245,5189,56,0
77,77,1,2738,2699,39,0
78,78,1,14540,14432,108,0
79,79,1,5548,5489,59,0
80,80,1,6100,6038,62,0
81,81,1,6775,6713,62,0
82,82,1,5692,5612,80,0
83,83,1,5034,4976,58,0
84,84,1,7363,7303,60,0
85,85,1,6826,6729,97,0
86,86,1,6304,6144,160,0
87,87,1,49571,48828,739,4
88,88,1,107272,104105,3167,0
89,89,1,4324,4227,97,0
90,90,1,34582,32985,1597,0
91,91,1,14251,13878,373,0
92,92,1,6463,6328,135,0
93,93,1,21384,20896,488,0
94,94,1,8301,8186,115,0
95,95,1,6050,5856,194,0
96,96,1,4149,4058,91,0
97,97,1,7768,7691,77,0
98,98,1,2227239,2143428,83793,18
99,99,1,363511,342567,20941,3
100,100,1,54965,52373,2592,0
101,101,1,44442,41305,3137,0
102,102,1,13992,13264,728,0
103,103,1,12746,12083,663,0
104,104,1,13372,12834,537,1
105,105,1,50910,47238,3670,2
106,106,1,26240,24822,1418,0
107,107,1,14881,14065,816,0
108,108,1,11922,11115,807,0
109,109,1,26429,25343,1086,0
110,110,1,10540,10046,494,0
111,111,1,83072,78079,4993,0
112,112,1,367403,354077,13323,3
113,113,1,46119,44502,1617,0
114,114,1,24840,24093,747,0
115,115,1,27532,26722,809,1
116,116,1,80954,76377,4577,0
117,117,1,26213,25511,702,0
118,118,1,39235,37798,1437,0
119,119,1,10476,10208,268,0
120,120,1,23132,22074,1058,0
121,121,1,54953,53788,1163,2
122,122,1,11063,10791,272,0
123,123,1,22886,22213,673,0
124,124,1,436862,422096,14765,1
125,125,1,11065,10500,565,0
126,126,1,34212,33359,853,0
127,127,1,140816,135338,5477,1
128,128,1,16732,16298,434,0
129,129,1,58951,56482,2469,0
130,130,1,3811,3613,198,0
131,131,1,17006,16536,470,0
132,132,1,19348,18888,460,0
133,133,1,12113,11792,321,0
134,134,1,12002,11665,337,0
135,135,1,24571,24173,398,0
136,136,1,8963,8620,343,0
137,137,1,19413,18763,650,0
138,138,1,4082,3955,127,0
139,139,1,13113,12899,214,0
140,140,1,5440,5112,328,0
141,141,1,17261,16926,335,0
142,142,1,11160,10622,538,0
143,143,1,6803,6555,248,0
144,144,1,286752,273130,13616,6
145,145,1,6238,5872,366,0
146,146,1,11642,11249,393,0
147,147,1,15557,14882,675,0
148,148,1,2645,2557,88,0
149,149,1,5281,5026,255,0
150,150,1,128603,122043,6559,1
151,151,1,39024,36717,2305,2
152,152,1,3390,3070,320,0
153,153,1,51170,49408,1759,3
154,154,1,23202,22306,896,0
155,155,1,252777,246674,6102,1
156,156,1,5231,5169,62,0
157,157,1,9038,8824,214,0
158,158,1,13736,13573,163,0
159,159,1,18303,17916,387,0
160,160,1,13119,12871,248,0
161,161,1,9506,9124,382,0
162,162,1,7333,7250,83,0
163,163,1,10641,10354,287,0
164,164,1,15137,14824,313,0
165,165,1,11030,10889,141,0
166,166,1,25910,25396,514,0
167,167,1,4662,4578,84,0
168,168,1,99551,96485,3065,1
169,169,1,9580,9421,159,0
170,170,1,80751,77812,2939,0
171,171,1,52272,50513,1759,0
172,172,1,8355,7899,456,0
173,173,1,4904,4759,145,0
174,174,1,4768,4537,231,0
175,175,1,7167,6970,197,0
176,176,1,3285,3134,151,0
177,177,1,228581,220981,7597,3
178,178,1,34329,33758,571,0
179,179,1,12472,12047,425,0
180,180,1,3798,3741,57,0
181,181,1,20141,18986,1155,0
182,182,1,7800,7473,327,0
183,183,1,6402,6214,188,0
184,184,1,44538,42194,2343,1
185,185,1,3513,3405,108,0
186,186,1,14769,14256,512,1
187,187,1,36413,35401,1012,0
188,188,1,34111,33416,695,0
189,189,1,3279,3185,93,1
190,190,1,7016,6905,111,0
191,191,1,210602,206091,4510,1
192,192,1,5887,5764,123,0
193,193,1,6205,6114,91,0
194,194,1,6583,6491,92,0
195,195,1,46455,45318,1136,1
196,196,1,5148,5066,82,0
197,197,1,4403,4342,61,0
198,198,1,26503,25640,863,0
199,199,1,12222,12018,204,0
200,200,1,40117,39164,953,0
201,201,1,2909,2872,37,0
202,202,1,4630,4555,75,0
203,203,1,8092,7988,104,0
204,204,1,11280,11086,194,0
205,205,1,21755,21396,359,0
206,206,1,8413,8277,136,0
207,208,1,2870208,2615869,254280,59
208,208,1,2870208,2615869,254280,59
209,209,1,19143,17981,1162,0
210,210,1,177238,162314,14922,2
211,211,1,171454,152250,19198,6
212,212,1,78345,72123,6221,1
213,213,1,214124,190620,23499,5
214,214,1,545796,490463,55324,9
215,215,1,201590,184404,17179,7
216,216,1,86515,80737,5777,1
217,217,1,66255,61228,5027,0
218,218,1,55682,50100,5581,1
219,219,1,148034,133743,14284,7
220,220,1,171658,159877,11780,1
221,221,1,68852,65081,3767,4
222,222,1,166507,154051,12455,1
223,223,1,52384,49775,2609,0
224,224,1,123496,114955,8540,1
225,225,1,385606,347392,38207,7
226,226,1,137529,128775,8748,6
227,227,1,704533,671501,33025,7
228,228,1,96442,84863,11574,5
229,229,1,11112,10760,352,0
230,230,1,13822,13017,805,0
231,231,1,29538,21218,8319,1
232,232,1,27772,26558,1210,4
233,233,1,14198,13310,888,0
234,234,1,114863,110558,4305,0
235,235,1,8874,8621,253,0
236,236,1,6712,6520,192,0
237,237,1,2280,2213,67,0
238,238,1,1438,1423,15,0
239,239,1,33394,31889,1505,0
240,240,1,6873,6723,150,0
241,241,1,4373,4177,196,0
242,242,1,7684,6948,736,0
243,243,1,6206,6073,133,0
244,244,1,13258,13071,187,0
245,245,1,4839,4588,251,0
246,246,1,13757,13286,471,0
247,247,1,5175,5026,149,0
248,248,1,235861,224970,10890,1
249,249,1,22012,21155,857,0
250,250,1,6975,6741,234,0
251,251,1,21421,20128,1292,1
252,252,1,29709,27652,2057,0
253,253,1,23186,22191,995,0
254,254,1,8530,8370,160,0
255,255,1,17355,16972,383,0
256,256,1,5400,5287,113,0
257,257,1,21004,19519,1485,0
258,258,1,21607,21003,604,0
259,259,1,58662,55952,2710,0
260,260,1,104923,102691,2231,1
261,261,1,3044,2952,92,0
262,262,1,2789,2730,59,0
263,263,1,3812,3727,85,0
264,264,1,8042,7844,198,0
265,265,1,3116,3010,106,0
266,266,1,3225,3174,51,0
267,267,1,20730,20257,472,1
268,268,1,2858,2815,43,0
269,269,1,3394,3354,40,0
270,270,1,3021,2874,147,0
271,271,1,2992,2961,31,0
272,272,1,5952,5853,99,0
273,273,1,15248,14950,298,0
274,274,1,22340,21927,413,0
275,275,1,4360,4263,97,0
276,276,1,152444,148419,4025,0
277,277,1,5014,4913,101,0
278,278,1,6606,6477,129,0
279,279,1,6428,6321,107,0
280,280,1,12680,12395,285,0
281,281,1,53577,51869,1708,0
282,282,1,15799,15343,456,0
283,283,1,4135,4064,71,0
284,284,1,2351,2325,26,0
285,285,1,5747,5581,166,0
286,286,1,6286,6126,160,0
287,287,1,9871,9650,221,0
288,288,1,11245,10907,338,0
289,289,1,5318,5195,123,0
290,290,1,7387,7253,134,0
291,292,1,467343,399398,67921,24
292,292,1,467343,399398,67921,24
293,293,1,44164,35310,8848,6
294,294,1,2523,2391,132,0
295,295,1,6045,4494,1551,0
296,296,1,6439,5867,572,0
297,297,1,67622,61001,6620,1
298,316,1,23725,20221,3502,2
299,299,1,33494,25777,7715,2
300,300,1,72332,60808,11521,3
301,301,1,5462,4745,717,0
302,302,1,44614,40628,3984,2
303,303,1,59845,51426,8416,3
304,304,1,11248,9905,1343,0
305,305,1,37766,32672,5093,1
306,306,1,27523,22804,4715,4
307,307,1,5717,4239,1478,0
308,308,1,18824,17110,1714,0
309,311,1,236413,233065,3346,2
310,311,1,236413,233065,3346,2
311,311,1,236413,233065,3346,2
312,312,1,33771,33325,446,0
313,334,1,3437,3389,48,0
314,314,1,384,373,11,0
315,315,1,14331,13876,455,0
316,316,1,14189,14039,150,0
317,317,1,1408,1333,74,1
318,318,1,4340,4224,116,0
319,319,1,6319,6157,162,0
320,320,1,4368,4281,87,0
321,321,1,67229,66473,755,1
322,322,1,5791,5690,101,0
323,323,1,31388,31130,258,0
324,324,1,4090,4047,43,0
325,325,1,2020,1982,38,0
326,326,1,3220,3126,94,0
327,327,1,4936,4837,99,0
328,328,1,19463,19256,207,0
329,329,1,5406,5277,129,0
330,330,1,10323,10250,73,0
331,333,1,250744,243711,7029,4
332,333,1,250744,243711,7029,4
333,333,1,250744,243711,7029,4
334,334,1,10915,10279,636,0
335,335,1,32162,31652,510,0
336,336,1,105782,102673,3105,4
337,337,1,19593,19287,306,0
338,338,1,8360,7993,367,0
339,339,1,2517,2448,69,0
340,340,1,5149,4911,238,0
341,341,1,12680,12248,432,0
342,342,1,42168,41079,1089,0
343,343,1,6553,6419,134,0
344,344,1,4865,4722,143,0
